revision,name,niveau,date,youtube,pdf,pdf_link
2,Snap,0,26/06/2019,,,
1,Born to be great,0,26/06/2019,,,
1,Save me tonight,0,26/06/2019,,,
1,I drink beer,0,26/06/2019,,,
2,Knockin’ Boots,0,19/06/2019,,,
1,By and by,0,19/06/2019,,,
1,Indian sound,0,19/06/2019,,,
2,Knockin’ Boots,0,12/06/2019,,,
1,Save me tonight,0,12/06/2019,,,
1,Clear Isabel,0,12/06/2019,,,
0,Knockin’ Boots,0,05/06/2019,https://www.youtube.com/watch?v=t-HiUyHZpEA,knockin_boots.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905426/dml-laille/seed_danse/knockin_boots.pdf
1,I drink beer,0,05/06/2019,,,
1,Nothing but you,0,05/06/2019,,,
1,Save me tonight,0,05/06/2019,,,
0,I drink beer,0,29/05/2019,https://www.youtube.com/watch?v=kGM2Qd1yzj8&t=140s,i_drink_beer.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/i_drink_beer.pdf
1,Hello heart,0,29/05/2019,,,
1,Nothing but you,0,29/05/2019,,,
1,Indian sound,0,29/05/2019,,,
1,Clear Isabel,0,29/05/2019,,,
0,Hello heart,0,22/05/2019,https://www.youtube.com/watch?v=t2FM_Vej7Zo&t=171s,hello_heart.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905423/dml-laille/seed_danse/hello_heart.pdf
1,Nothing but you,0,22/05/2019,,,
1,Coffee days and the whiskey nights,0,22/05/2019,,,
1,By and by,0,22/05/2019,,,
0,Always remember,0,10/05/2019,https://www.youtube.com/watch?v=xkD_QQ7vZQM&t=242s,Always_Remember.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905397/dml-laille/seed_danse/Always_Remember.pdf
1,Anything goes,0,10/05/2019,,,
1,Snap,0,10/05/2019,,,
2,Kiss me already,0,17/04/2019,,,
1,By and by,0,17/04/2019,,,
2,Strait down,0,10/04/2019,,,
1,Kiss me already,0,10/04/2019,,,
1,Georges strait,0,10/04/2019,,,
1,Snap,0,10/04/2019,,,
1,Indian sound,0,10/04/2019,,,
1,By and by,0,10/04/2019,,,
0,Strait down,0,03/04/2019,https://www.youtube.com/watch?v=ug0yVa7rYqM,strait_down.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905399/dml-laille/seed_danse/strait_down.pdf
1,Kiss me already,0,03/04/2019,,,
1,By and by,0,03/04/2019,,,
0,Kiss me already,0,27/03/2019,https://www.youtube.com/watch?v=YTsk8CRCEtU,kiss_me_already.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905421/dml-laille/seed_danse/kiss_me_already.pdf
2,Coffee days and the whiskey nights,0,20/03/2019,,,
1,Indian sound,0,20/03/2019,,,
1,Ghost town,0,20/03/2019,,,
1,Wiskey bridges,0,20/03/2019,,,
2,Indian sound,0,13/03/2019,,,
1,Anything goes,0,13/03/2019,,,
1,Around the sun,0,13/03/2019,,,
1,By and by,0,13/03/2019,,,
0,Indian sound,0,06/03/2019,https://www.youtube.com/watch?v=wMU2Zl-Bctk&t=216s,indian_sound.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905421/dml-laille/seed_danse/indian_sound.pdf
1,Clear Isabel,0,06/03/2019,,,
1,Georges strait,0,06/03/2019,,,
0,By and by,0,27/02/2019,https://www.youtube.com/watch?v=l2HVEHUCKc4,by_and_by.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905409/dml-laille/seed_danse/by_and_by.pdf
1,Clear Isabel,0,27/02/2019,,,
0,Save me tonight,0,06/02/2019,https://www.youtube.com/watch?v=yro4dt-bpGQ,save_me_tonight.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905437/dml-laille/seed_danse/save_me_tonight.pdf
1,Clear Isabel,0,06/02/2019,,,
