revision,name,niveau,date,youtube,pdf
0,Knookin'boots,0,05/06/2019,https://www.youtube.com/watch?v=t-HiUyHZpEA,knockin_boots.pdf
1,I Drink beer,0,05/06/2019,,
1,Nothing but you (yeah you),0,05/06/2019,,
1,save me tonight,0,05/06/2019,,
0,I drink beer,0,29/05/2019,https://www.youtube.com/watch?v=kGM2Qd1yzj8&t=140s,i_drink_beer.pdf
1,Hello heart,0,29/05/2019,,
1,Nothing but you (yeah you),0,29/05/2019,,
1,Indian sound,0,29/05/2019,,
1,Clear Isabel,0,29/05/2019,,
0,Hello heart,0,22/05/2019,https://www.youtube.com/watch?v=t2FM_Vej7Zo&t=171s,hello_heart.pdf
1,Nothing but you (yeah you),0,22/05/2019,,
1,Coffee days and the whiskey nights,0,22/05/2019,,
1,By and by,0,22/05/2019,,
0,Always remember,0,10/05/2019,https://www.youtube.com/watch?v=xkD_QQ7vZQM&t=242s,Always_Remember.pdf
1,Anything goes,0,10/05/2019,,
1,snap,0,10/05/2019,,
1,Kiss me already,0,17/04/2019,,
1,By and By,0,17/04/2019,,
1,strait down,0,10/04/2019,,
1,Kiss me already,0,10/04/2019,,
1,Georges strait,0,10/04/2019,,
1,Snap,0,10/04/2019,,
1,Indian sound,0,10/04/2019,,
1,By and by,0,10/04/2019,,
0,Strait down,0,03/04/2019,https://www.youtube.com/watch?v=ug0yVa7rYqM,strait_down.pdf
1,Kiss me already,0,03/04/2019,,
1,By and by,0,03/04/2019,,
0,Kiss me already,0,27/03/2019,https://www.youtube.com/watch?v=YTsk8CRCEtU,kiss_me_already.pdf
1,Coffee days and the whiskey nights,0,20/03/2019,,
1,Indian sound,0,20/03/2019,,
1,Ghost town,0,20/03/2019,,
1,Wiskey bridges,0,20/03/2019,,
1,Indian sound,0,13/03/2019,,
1,Anything goes,0,13/03/2019,,
1,Around the sun,0,13/03/2019,,
1,By and by,0,13/03/2019,,
0,Indian sound,0,06/03/2019,https://www.youtube.com/watch?v=wMU2Zl-Bctk&t=216s,indian_sound.pdf
1,Clear Isabel,0,06/03/2019,,
1,Georges strait,0,06/03/2019,,
0,By and by,0,27/02/2019,https://www.youtube.com/watch?v=l2HVEHUCKc4,by_and_by.pdf
1,Clear Isabel,0,27/02/2019,,
0,Save me tonight,0,06/02/2019,https://www.youtube.com/watch?v=yro4dt-bpGQ,save_me_tonight.pdf
1,Clear Isabel,0,06/02/2019,,
1,Around the sun,0,06/02/2019,,
0,Clear Isabel,0,23/01/2019,https://www.youtube.com/watch?v=PdRl_R_pjxw,Clear_Isabel.pdf
1,Katchi,0,23/01/2019,,
1,Whiskey brides,0,23/01/2019,,
1,Georges strait,0,23/01/2019,,
0,Whiskey brides,0,16/01/2019,https://www.youtube.com/watch?v=qVbPb84pP1U,whiskeybridges.pdf
1,Katchi,0,16/01/2019,,
1,Ghost town,0,16/01/2019,,
1,snap,0,16/01/2019,,
0,Katchi,0,09/01/2019,https://www.youtube.com/watch?v=6XgXbiuJjqU,Katchi.pdf
1,Texas time ez,0,09/01/2019,,
1,Born to be great,0,09/01/2019,,
1,Georges strait,0,09/01/2019,,
1,Christmas cookies,0,04/12/2018,,
1,Texas time ez,0,04/12/2018,,
1,Born to be great,0,04/12/2018,,
1,Georges strait,0,04/12/2018,,
1,snap,0,04/12/2018,,
0,Texas time ez,0,28/11/2018,https://www.youtube.com/watch?v=SaJFmjFXjk0,TexastimeEZ.pdf
1,Georges strait,0,28/11/2018,,
1,Ghost town,0,28/11/2018,,
0,Born to be great,0,21/11/2018,https://www.youtube.com/watch?v=O-gXwSDoIxg,Born_to_be_great.pdf
1,Georges strait,0,21/11/2018,,
1,Ghost town,0,21/11/2018,,
1,Snap,0,21/11/2018,,
0,Georges strait,0,14/11/2018,https://www.youtube.com/watch?v=Jijp_y0vBbg,georges_strait.pdf
1,Snap,0,14/11/2018,,
1,Snap,0,07/11/2018,,
1,Bill's Basic,0,07/11/2018,,
1,Dixie dance,0,07/11/2018,,
1,Ghost town,0,07/11/2018,,
1,Anything goes,0,07/11/2018,,
1,Snap,0,31/10/2018,,
1,Simply shulle,0,31/10/2018,,
1,Bill's Basic,0,31/10/2018,,
1,Dixie dance,0,31/10/2018,,
1,Ghost town,0,31/10/2018,,
1,Snap,0,17/10/2018,,
1,Lindi Shuffle,0,17/10/2018,,
1,Bill's Basic,0,17/10/2018,,
1,Ghost town,0,17/10/2018,,
0,Snap,0,10/10/2018,https://www.youtube.com/watch?v=WKBKLo4EiB0&feature=youtu.be,snap.pdf
1,Lindi Shuffle,0,10/10/2018,,
1,Bill's Basic,0,10/10/2018,,
1,Ghost town,0,10/10/2018,,
0,Bill s basic,0,03/10/2018,https://www.youtube.com/watch?v=gkLBnBS2evU,bills_Bbasic.pdf
0,Ghost town,0,03/10/2018,https://www.youtube.com/watch?v=tdh7F0pQrrM&t=157s,ghost-town.pdf
1,Lundi Shuffle,0,03/10/2018,,
1,Anything goes,0,03/10/2018,,
0,Lindi Shuffle,0,26/09/2018,https://www.youtube.com/watch?v=GoNpXAbqFIY,lindi_shuffle.pdf
1,Anything goes,0,26/09/2018,,
1,Simply shuflle,0,26/09/2018,,
1,Dixie dance,0,26/09/2018,,
0,Anything goes,0,19/09/2018,https://www.youtube.com/watch?v=nT8Da9l5Id8,anything_goes.pdf
0,Dixie dance,0,19/09/2018,https://www.youtube.com/watch?v=6mgp4HvI_ts,dixie_dance.pdf
0,Simply shuflle,0,19/09/2018,https://www.youtube.com/watch?v=maO5deXsIU0&t=0s&index=5&list=LLUQ-huBGR1P0inGHmhohD6g,simply_shuffle.pdf
,,,,,
0,Love me some you,1,12/06/2019,https://www.youtube.com/watch?v=yyxDx694KC4&t=364s,Love_me_some_you.pdf
1,John Henry,1,12/06/2019,,
1,321,1,12/06/2019,,
1,Must be the whikey,1,12/06/2019,,
1,eyes on you,1,12/06/2019,,
0,John Henry,1,05/06/2019,https://www.youtube.com/watch?v=2RQTpGzaX8o,john_henry.pdf
